Date,Time
23 Jun,08:59am
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,15
2020-03-17,17
2020-03-18,19
2020-03-19,23
2020-03-20,27
2020-03-21,31
2020-03-22,31
2020-03-23,38
2020-03-24,78
2020-03-25,121
2020-03-26,147
2020-03-27,180
2020-03-28,188
2020-03-29,195
2020-03-30,221
2020-03-31,253
2020-04-01,274
2020-04-02,311
2020-04-03,343
2020-04-04,372
2020-04-05,415
2020-04-06,500
2020-04-07,529
2020-04-08,555
2020-04-09,617
2020-04-10,652
2020-04-11,697
2020-04-12,744
2020-04-13,800
2020-04-14,862
2020-04-15,935
2020-04-16,984
2020-04-17,1075
2020-04-18,1137
2020-04-19,1237
2020-04-20,1276
2020-04-21,1367
2020-04-22,1453
2020-04-23,1541
2020-04-24,1708
2020-04-25,1793
2020-04-26,1864
2020-04-27,1984
2020-04-28,2160
2020-04-29,2381
2020-04-30,2627
2020-05-01,2799
2020-05-02,2907
2020-05-03,3129
2020-05-04,3288
2020-05-05,3499
2020-05-06,3712
2020-05-07,3956
2020-05-08,4327
2020-05-09,4509
2020-05-10,4669
2020-05-11,4875
2020-05-12,5021
2020-05-13,5252
2020-05-14,5423
2020-05-15,5678
2020-05-16,5847
2020-05-17,6061
2020-05-18,6230
2020-05-19,6554
2020-05-20,6815
2020-05-21,7155
2020-05-22,7391
2020-05-23,7685
2020-05-24,7905
2020-05-25,8080
2020-05-26,8259
2020-05-27,8483
2020-05-28,8842
2020-05-29,9067
2020-05-30,9540
2020-05-31,10027
2020-06-01,10485
2020-06-02,10897
2020-06-03,11373
2020-06-04,11890
2020-06-05,12459
2020-06-06,13001
2020-06-07,13487
2020-06-08,14006
2020-06-09,14527
2020-06-10,15206
2020-06-11,15787
2020-06-12,16415
2020-06-13,17450
2020-06-14,18013
2020-06-15,18472
2020-06-16,19107
2020-06-17,19613
2020-06-18,20182
2020-06-19,20790
2020-06-20,21444
2020-06-21,21997
2020-06-22,22633
